kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(ns),task_stop(ns)
N/A,event record task,4,602,"""0.01""","""1624688057656249334""","""1624688057656249344"""
N/A,memory copy task,4,603,"""0.0""","""1624688059923484874""","""1624688059923484874"""
N/A,event record task,4,604,"""1.87""","""1624688059923854994""","""1624688059923856864"""
603/AxpyV2_tvmbin,kernel AI core task,4,605,"""5.96""","""1624688059923924704""","""1624688059923930664"""
N/A,event record task,4,607,"""0.01""","""1624688059924067344""","""1624688059924067354"""
N/A,memory copy task,4,608,"""6.3""","""1624688059924396604""","""1624688059924402904"""
603/AxpyV2_tvmbin,kernel AI core task,4,610,"""0.01""","""1624688059924934564""","""1624688059924934574"""
N/A,event record task,4,611,"""7.97""","""1624688059925178854""","""1624688059925186824"""
N/A,memory copy task,4,613,"""0.01""","""1624688059925268574""","""1624688059925268584"""
N/A,event record task,4,614,"""6.45""","""1624688059925449364""","""1624688059925455814"""
N/A,event record task,4,616,"""0.0""","""1624688059925527434""","""1624688059925527434"""
N/A,event record task,4,617,"""6.51""","""1624688059925837304""","""1624688059925843814"""
619/trans_TransData_771_tvmbin,kernel AI core task,4,619,"""0.01""","""1624688059926098774""","""1624688059926098784"""
619/Add_tvmbin,kernel AI core task,4,620,"""1.23""","""1624688059926330034""","""1624688059926331264"""
619/trans_TransData_776_tvmbin,kernel AI core task,4,621,"""5.13""","""1624688059926376784""","""1624688059926381914"""
N/A,event record task,4,623,"""0.0""","""1624688059926477974""","""1624688059926477974"""
N/A,memory copy task,4,624,"""7.01""","""1624688059926676624""","""1624688059926683634"""
603/AxpyV2_tvmbin,kernel AI core task,4,626,"""0.01""","""1624688059926889454""","""1624688059926889464"""
N/A,event record task,4,627,"""6.26""","""1624688059927075624""","""1624688059927081884"""
N/A,memory copy task,4,629,"""0.01""","""1624688059927241594""","""1624688059927241604"""
N/A,event record task,4,630,"""6.27""","""1624688059927425694""","""1624688059927431964"""
N/A,event record task,4,632,"""0.01""","""1624688059927504964""","""1624688059927504974"""
N/A,event record task,4,633,"""6.48""","""1624688059927673144""","""1624688059927679624"""
N/A,event record task,4,635,"""0.01""","""1624688059927870994""","""1624688059927871004"""
603/AxpyV2_tvmbin,kernel AI core task,4,636,"""1.23""","""1624688059928069944""","""1624688059928071174"""
N/A,event record task,4,637,"""4.94""","""1624688059928104564""","""1624688059928109504"""
N/A,memory copy task,4,639,"""0.01""","""1624688059928205404""","""1624688059928205414"""
N/A,event record task,4,640,"""6.35""","""1624688059928423824""","""1624688059928430174"""
N/A,event record task,4,642,"""0.01""","""1624688059928513974""","""1624688059928513984"""
N/A,event record task,4,643,"""6.57""","""1624688059928674414""","""1624688059928680984"""
619/trans_TransData_771_tvmbin,kernel AI core task,4,645,"""0.01""","""1624688059928751894""","""1624688059928751904"""
619/Add_tvmbin,kernel AI core task,4,646,"""7.68""","""1624688059928914094""","""1624688059928921774"""
N/A,event record task,4,648,"""0.0""","""1624688059929140394""","""1624688059929140394"""
N/A,event record task,4,649,"""7.08""","""1624688059929341154""","""1624688059929348234"""
N/A,event record task,4,651,"""0.01""","""1624688059929626274""","""1624688059929626284"""
603/AxpyV2_tvmbin,kernel AI core task,4,652,"""1.23""","""1624688059929834944""","""1624688059929836174"""
N/A,event record task,4,653,"""5.07""","""1624688059929872354""","""1624688059929877424"""
N/A,memory copy task,4,655,"""0.01""","""1624688059929969924""","""1624688059929969934"""
N/A,event record task,4,656,"""6.36""","""1624688059930290214""","""1624688059930296574"""
N/A,event record task,4,658,"""0.01""","""1624688059930377394""","""1624688059930377404"""
N/A,event record task,4,659,"""6.97""","""1624688059930597784""","""1624688059930604754"""
N/A,event record task,4,661,"""0.0""","""1624688059930679254""","""1624688059930679254"""
603/AxpyV2_tvmbin,kernel AI core task,4,662,"""6.18""","""1624688059930849864""","""1624688059930856044"""
N/A,event record task,4,664,"""0.0""","""1624688059930924574""","""1624688059930924574"""
N/A,memory copy task,4,665,"""7.75""","""1624688059931085774""","""1624688059931093524"""
547/PtMuls_tvmbin,kernel AI core task,4,667,"""0.01""","""1624688059931422804""","""1624688059931422814"""
N/A,event record task,4,668,"""1.23""","""1624688059931618764""","""1624688059931619994"""
N/A,event record task,4,669,"""5.14""","""1624688059931648124""","""1624688059931653264"""
619/trans_TransData_771_tvmbin,kernel AI core task,4,671,"""0.01""","""1624688059931782564""","""1624688059931782574"""
619/Add_tvmbin,kernel AI core task,4,672,"""6.51""","""1624688059931959904""","""1624688059931966414"""
N/A,event record task,4,674,"""0.01""","""1624688059932043044""","""1624688059932043054"""
